currentLanguage,Portuguese
operatingSystem,iMac14.1 [Mac OS X 10.13.6]
ipAddress,143.107.45.1
ipCountry,BR
gameVersion,v190227
gameLanguage,pt_br
institution,neuromat
soccerTeam,Rony
game,JG
playID,CT-0
phase,1
choices,3
showPlayPauseButton,False
pausePlayInputKey,None
sessionTime,76.174540
relaxTime,0.000000
initialPauseTime,0.000000
numOtherPauses,0
otherPausesTime,0.000000
attentionPoint,False
attentionDiameter,0.8
attentionColorStart,#FFF
attentionColorCorrect,#00F
attentionColorWrong,#333
playerMachine,celso.local
gameDate,190416
gameTime,113212
gameRandom,846
playerAlias,mane
limitPlays,12
totalCorrect,12
successRate,1.0
gameMode,readTree
status,OK
playsToRelax,0
scoreboard,True
finalScoreboard,long
animationType,short
showHistory,True
sendMarkersToEEG,none
portEEGserial,COM4
groupCode,G2-D1
leftInputKey,None
centerInputKey,None
rightInputKey,None
speedGKAnim,1.0
keyboardMarker1,0.000000
keyboardMarker2,0.000000
keyboardMarker3,0.000000
keyboardMarker4,0.000000
keyboardMarker5,0.000000
keyboardMarker6,0.000000
keyboardMarker7,0.000000
keyboardMarker8,0.000000
keyboardMarker9,0.000000
keyboardMarker0,0.000000
minHitsInSequence,0
tree, 0;0;1 | 1;0;0 | 2;1;0
sequExecuted,012012012012
move,waitedResult,ehRandom,optionChosen,correct,movementTime,pauseTime,timeRunning
1,0,n,0,TRUE,8.772629,0.000000,8.775856
2,1,n,1,TRUE,2.343773,0.000000,15.279350
3,2,n,2,TRUE,1.227905,0.000000,20.614980
4,0,n,0,TRUE,1.807831,0.000000,27.022820
5,1,n,1,TRUE,0.811722,0.000000,31.990470
6,2,n,2,TRUE,1.443909,0.000000,37.542320
7,0,n,0,TRUE,1.039841,0.000000,43.182000
8,1,n,1,TRUE,1.800018,0.000000,49.141650
9,2,n,2,TRUE,1.379654,0.000000,54.629360
10,0,n,0,TRUE,2.452148,0.000000,61.685280
11,1,n,1,TRUE,0.711685,0.000000,66.556880
12,2,n,2,TRUE,1.111740,0.000000,71.772480
